WKT,fid,COUNTRY,NAME,ADDR1,ADDR2,ADDR3,ADDR4,ADDR5,CAT_MOD,STATE
POINT (-74.5933044 39.3115692),3573420,US,Somers Point Beach,Bay Ave & Higbee Ave,"Somers Point, NJ  08244",United States,,,travel_and_leisure.beach,NJ
POINT (-84.79106 39.18228),3586182,US,Long Island Beach,10465 Suspension Bridge Rd,"Harrison, OH  45030",United States,,,travel_and_leisure.beach,OH
POINT (-86.5793198 41.2210066),3586724,US,Bass Lake State Beach,5837 S SR-10,"Knox, IN  46534",United States,,,travel_and_leisure.beach,IN
POINT (-70.0766802 41.9452395),3591987,US,Duck Harbor Beach,26 River Harbor Rd,"Wellfleet, MA  02667",United States,,,travel_and_leisure.beach,MA
POINT (-80.0868827 40.9416102),3594084,US,Pleasant Valley Beach,"Prospect, PA  16052",United States,,,,travel_and_leisure.beach,PA
POINT (-81.2651997 40.538566),3594376,US,Atwood Lake Park Beach,9552 Shop Rd NE,"Dellroy, OH  44656",United States,,,travel_and_leisure.beach,OH
POINT (-124.143791 41.707165),3594578,US,Crescent Beach Overlook,,,,,,travel_and_leisure.beach,CA
POINT (-77.3567481 34.5207596),3595811,US,North Topsail Beach,2002–2014 New River Inlet Rd,"N Topsail Beach, NC  28460",United States,,,travel_and_leisure.beach,NC
POINT (-122.7021395 48.3230905),3597796,US,Rocky Point Beach,Oak Harbor,WA 98278,United States,,,travel_and_leisure.beach,WA
POINT (-64.961361 18.369494),3604289,US,Dorothea Beach,Saint Thomas,"St. Thomas, United States Virgin Islands",United States,,,travel_and_leisure.beach,PR
POINT (-73.9953158 40.7024049),3607532,US,The Floating Pool at Brooklyn Bridge Park Beach,4 Furman St,"Brooklyn, NY  11201",United States,,,travel_and_leisure.beach,NY
POINT (-70.8825231 42.4760234),3617081,US,Preston Beach,499 Atlantic Ave,"Swampscott, MA  01907",United States,,,travel_and_leisure.beach,MA
POINT (-76.4747457 38.9888071),3617288,US,Severn Beach,92 Machinery Cir,"Annapolis, MD  20776",United States,,,travel_and_leisure.beach,MD
POINT (-87.0958863 30.339252),3621632,US,East Parking Pensacola Beach,1600 Bulevar Menor,"Gulf Breeze, FL  32561",United States,,,travel_and_leisure.beach,FL
POINT (-66.8448765 18.4897087),3628796,US,Playa Los Pinos,"Camuy, PR  00627",United States,,,,travel_and_leisure.beach,PR
POINT (-64.9530589 18.3094633),3629466,US,Revenge Beach,Fort Hill Rd,"St. Thomas, United States Virgin Islands  00802",United States,,,travel_and_leisure.beach,PR
POINT (-122.6127895 47.6482199),3633906,US,South Brownsville,9358–9504 Illahee Rd NE,"Bremerton, WA  98311",United States,,,travel_and_leisure.beach,WA
POINT (-79.915253 42.211131),3646985,US,Shorewood Beach,1–125 Shorewood Dr,"North East, PA  16428",United States,,,travel_and_leisure.beach,PA
POINT (-86.4117626 44.1412352),3648018,US,Manistee National Forest-public Shoreline Beach N,"Mason County, MI",United States,,,,travel_and_leisure.beach,MI
POINT (-119.9604144 38.9501812),3648766,US,Lake Tahoe Harbor Beach,"10120 US-50
South Lake Tahoe, CA  96150
United States",,,,,travel_and_leisure.beach,CA
POINT (-156.4575848 20.7471759),3650069,US,West Lipoa Street Beach,W Līpoa St & Uluniu Rd,"Kihei, HI  96753",United States,,,travel_and_leisure.beach,HI
POINT (-122.5259256 47.9121569),3650154,US,Point No Point Beach,"Hansville, WA  98340",United States,,,,travel_and_leisure.beach,WA
POINT (-66.6244251 18.4919873),3652072,US,La Poza De Don Guelo,PR-681,"Arecibo, PR  00612",United States,,,travel_and_leisure.beach,PR
POINT (-73.4075 40.6552778),3654719,US,Amityville Beach,S Bayview Ave & S Bayview Ave,"Amityville, NY  11701",United States,,,travel_and_leisure.beach,NY
POINT (-84.17311 43.619058),3660932,US,Straford Beach,3924 Stratford Woods Dr,"Midland, MI  48642",United States,,,travel_and_leisure.beach,MI
POINT (-124.3724442 43.3338249),3661839,US,Sunset Bay Beach,89562–89574 Cape Arago Hwy,"Coos Bay, OR  97420",United States,,,travel_and_leisure.beach,OR
POINT (-159.3304628 22.0514665),3663566,US,Lae Nani Beach,410 Papaloa Rd,"Kapaa, HI  96746",United States,,,travel_and_leisure.beach,HI
POINT (-82.4810761 27.1499134),3669022,US,Casey Key Beach,1900 Casey Key Rd,"Nokomis, FL  34275",United States,,,travel_and_leisure.beach,FL
POINT (-118.3387601 40.5979605),3670914,US,Poker Brown Beach,"Lovelock, NV  89419",United States,,,,travel_and_leisure.beach,NV
POINT (-83.7817705 42.8025053),3672304,US,Clover Beach,15349 Linden Rd,"Linden, MI 48451",United States,,,travel_and_leisure.beach,MI
POINT (-76.3993415 38.2619857),3672326,US,Cedar Cove Community Beach,"Drayden, MD 20630",United States,,,,travel_and_leisure.beach,MD
POINT (-92.1971811 45.3248255),3673481,US,Lake magnor public beach,799 Magnor Lake Dr,"Clayton, WI  54004",United States,,,travel_and_leisure.beach,WI
POINT (-80.1174009 25.9865995),3673964,US,HeedBeach,111 S Surf Rd,"Hallandale Beach, FL 33009",United States,,,travel_and_leisure.beach,FL
POINT (-87.8023645 43.4703475),3674687,US,Sandy Beach Rd,5296 Sandy Beach S,WI  53004,United States,,,travel_and_leisure.beach,WI
POINT (-72.0160829 41.2558853),3676953,US,South Beach,401–413 Beach Ave,"Fishers Island, NY  06390",United States,,,travel_and_leisure.beach,CT
POINT (-95.3023195 28.9327212),3678960,US,Quintana Beach,898 2nd St,"Quintana, TX 77541",United States,,,travel_and_leisure.beach,TX
POINT (-73.4030556 41.0727778),3680587,US,Long Beach,Raymond Rocks,CT,United States,,,travel_and_leisure.beach,CT
POINT (-71.8114802 41.3212764),3681327,US,Breezeway Beach,137 Atlantic Ave,"Westerly, RI  02891",United States,,,travel_and_leisure.beach,RI
POINT (-71.179444 43.872806),3683575,US,Silver Lake Nichols Beach,583 Plains Rd,"Silver Lake, NH  03875",United States,,,travel_and_leisure.beach,NH
POINT (-87.2081561 41.6262175),3691385,US,West Beach,"376 N County Line Rd
Gary, IN 46403
United States",,,,,travel_and_leisure.beach,IN
POINT (-156.6455838 20.8358795),3693503,US,Kulanaokalai Beach,RT-30,"Lahaina, HI 96761",United States,,,travel_and_leisure.beach,HI
POINT (-93.6115833 47.229303),3696318,US,Tioga Beach,24308 Tioga Beach Rd,"Cohasset, MN  55721",United States,,,travel_and_leisure.beach,MN
POINT (-122.8289863 47.6410691),3696634,US,Seabeck Christian Conference Center,15384 Seabeck Hwy NW,"Seabeck, WA  98380",United States,,,travel_and_leisure.beach,WA
POINT (-87.1416267 30.3349548),3699564,US,Pensacola Beach Boardwalk,400 Quietwater Beach Rd,"Gulf Breeze, FL  32561",United States,,,travel_and_leisure.beach,FL
POINT (-89.1564131 44.1705388),3700764,US,Chippy's Sports Beach,W5449 Archer Ln,"Wild Rose, WI  54984",United States,,,travel_and_leisure.beach,WI
POINT (-74.0583577 40.4227057),3703692,US,Leonardo Beach,213 Beach Ave,"Leonardo, NJ  07737",United States,,,travel_and_leisure.beach,NJ
POINT (-82.0150423 26.4518148),3704184,US,Lighthouse Beach,110 Periwinkle Way,"Sanibel, FL  33957",United States,,,travel_and_leisure.beach,FL
POINT (-83.3012152 40.4338953),3705976,US,Richwood Lake Beach,101 Lynn St,"Richwood, OH  43344",United States,,,travel_and_leisure.beach,OH
POINT (-124.1192798 41.0367435),3714034,US,Houda Point Beach,Scenic Dr,"Trinidad, CA 95570",United States,,,travel_and_leisure.beach,CA
POINT (-122.3864561 47.8107084),3715580,US,Olympic Beach,,,,,,travel_and_leisure.beach,WA
POINT (-68.8177062 44.2397814),3716483,US,North Point Beach,"Great Spruce Head Island, ME",United States,,,,travel_and_leisure.beach,ME
POINT (-82.0366558 26.4540256),3717302,US,Dixie Beach,888 Sextant Dr,"Sanibel, FL  33957",United States,,,travel_and_leisure.beach,FL
POINT (-70.8571386 42.2718073),3719769,US,Nantasket Beach Reservation,212 Nantasket Ave.,"Hull, MA 02045",United States,,,travel_and_leisure.beach,MA
POINT (-156.8555556 21.1633333),3720382,US,ʻOloʻupena,"Kaunakakai, HI  96748",United States,,,,travel_and_leisure.beach,HI
POINT (-73.1679583 40.9227061),3732628,US,Long Beach,Long Beach Rd,"Nissequogue, NY 11780",United States,,,travel_and_leisure.beach,NY
POINT (-76.706522 36.031887),3734820,US,Bertie Beach,126–190 Bal Gra Rd,"Merry Hill, NC  27957",United States,,,travel_and_leisure.beach,NC
POINT (-157.8323257 21.4601432),3735985,US,Laenani Beach Park,47-50A Laenani Dr,"Kahaluʻu, HI  96744",United States,,,travel_and_leisure.beach,HI
POINT (-123.2023434 48.6762325),3736075,US,Stuart Island Marine State Park Beach,Stuart Island,WA,United States,,,travel_and_leisure.beach,WA
POINT (-72.0042479 41.3149122),3738149,US,Beach,62–66 E Shore Ave,"Groton, CT  06340",United States,,,travel_and_leisure.beach,CT
POINT (-157.147623 21.19691),3738451,US,Moʻomomi Beach,"Kaunakakai, HI 96748",United States,,,,travel_and_leisure.beach,HI
POINT (-71.8619907 41.0644848),3740286,US,Camp Hero State Park Beach,1898 Montauk Hwy,"Montauk, NY  11954",United States,,,travel_and_leisure.beach,NY
POINT (-82.5435938 43.4433397),3746226,US,Private Shoreline Beach-forester Shore,430 N Lakeshore Rd,MI  48469,United States,,,travel_and_leisure.beach,MI
POINT (-70.080413 42.0529038),3746330,US,Head of the Meadow Beach,Route 6,"North Truro, MA 02652",United States,,,travel_and_leisure.beach,MA
POINT (-97.0590516 27.9074292),3754210,US,Quarantine Shore,Aransas Bay,"Aransas Pass, TX",United States,,,travel_and_leisure.beach,TX
POINT (-118.0037159 33.6564104),3755539,US,Huntington City Beach,"Huntington City Beach
Huntington Beach, CA 92648
United States",,,,,travel_and_leisure.beach,CA
POINT (-64.9658436 18.3359507),3757565,US,Lindbergh Bay Beach,Route 302,"St. Thomas, VI 00802",United States,,,travel_and_leisure.beach,PR
POINT (-92.8510804 41.7426433),3763367,US,Rock Creek State Park Beach,4500 Rock Creek West St,"Kellogg, IA  50135",United States,,,travel_and_leisure.beach,IA
POINT (-71.3990897 43.5824232),3763608,US,Gilford Beach,"Gilford, NH  03249",United States,,,,travel_and_leisure.beach,NH
POINT (-66.9568032 17.9394654),3766745,US,Santa Beach,325 Avenida Arva del S,"Ensenada, PR 00647",United States,,,travel_and_leisure.beach,PR
POINT (-156.9649512 21.2111823),3768053,US,Hoʻolehua Beach,Makanalua,"Koʻolau, Hawaiʻi",,,,travel_and_leisure.beach,HI
POINT (-80.4948132 27.9361154),3771598,US,South Beach Community Park,"Melbourne Beach, FL  32951",United States,,,,travel_and_leisure.beach,FL
POINT (-156.8181604 20.7879484),3773860,US,Kahemano Beach,North Pacific Ocean,HI,United States,,,travel_and_leisure.beach,HI
POINT (-76.725252 37.4675823),3775973,US,York River Beach,Wrights Dock Rd,"Shacklefords, VA  23156",United States,,,travel_and_leisure.beach,VA
POINT (-76.7444973 38.2312114),3779013,US,Port Sunlight Beach,Saint Clements Bay,"Coltons Point, MD",United States,,,travel_and_leisure.beach,MD
POINT (-83.8110954 45.4207602),3782773,US,Lake Huron-lakeside Park,200–298 S Lake St,"Rogers City, MI  49779",United States,,,travel_and_leisure.beach,MI
POINT (-85.8720661 45.9677703),3783877,US,Private Shoreline Beach-s Of Pentwater,"Gulliver, MI  49840",United States,,,,travel_and_leisure.beach,MI
POINT (-87.69095 30.24767),3784504,US,Gulf Shores Public Beach,1134 W Lagoon Ave,"Gulf Shores, AL  36542",United States,,,travel_and_leisure.beach,AL
POINT (-122.9374691 47.1111386),3784693,US,Countryside Beach,5507 Countryside Beach Dr NW,"Olympia, WA 98502",United States,,,travel_and_leisure.beach,WA
POINT (-84.1358333 45.5705556),3788508,US,Huron Beach,22259 US-23,"Millersburg, MI  49759",United States,,,travel_and_leisure.beach,MI
POINT (-89.298811 46.8854192),3789122,US,Lake Superior-ontonagon Township Park And Campground,940 Lakeshore Dr,MI  49953,United States,,,travel_and_leisure.beach,MI
POINT (-76.7136361 34.7166591),3790372,US,West End Of Sugarloaf Island,Sugarloaf Island,NC,United States,,,travel_and_leisure.beach,NC
POINT (-122.8562016 47.6444113),3790719,US,Maple Beach,9007 Sunset Ln NW,"Seabeck, WA  98380",United States,,,travel_and_leisure.beach,WA
POINT (-71.2381782 41.6995777),3791049,US,Touisset Beach,34 Brownell St,"Warren, RI  02885",United States,,,travel_and_leisure.beach,RI
POINT (-156.6802761 20.9690652),3791565,US,Kapua,4221 Lower Honoapiilani Rd,"Lahaina, HI  96761",United States,,,travel_and_leisure.beach,HI
POINT (-82.2799936 26.8001183),3795442,US,Boca Grande,Gasparilla Island,FL,United States,,,travel_and_leisure.beach,FL
POINT (-66.9791121 44.8105048),3796388,US,Wallace Beach,"Lubec, ME  04652",United States,,,,travel_and_leisure.beach,ME
POINT (-80.3541541 27.6498715),3801211,US,Humiston Beach,3000 Ocean Dr,"Vero Beach, FL 32963",United States,,,travel_and_leisure.beach,FL
POINT (-76.4837675 39.0652764),3802451,US,Ulmstead Beach,"Arnold, MD  21012",United States,,,,travel_and_leisure.beach,MD
POINT (-124.2093658 41.991307),3804492,US,Pelican State Beach,17200 US-101,"Smith River, CA  95567",United States,,,travel_and_leisure.beach,CA
POINT (-73.973169 40.3668027),3809678,US,Anchorage Beach,1099 Ocean Ave,"Sea Bright, NJ 07760",United States,,,travel_and_leisure.beach,NJ
POINT (-71.1828655 41.7110094),3811624,US,Brayton Point Beach,Ripley St & Angus St,"Somerset, MA  02725",United States,,,travel_and_leisure.beach,MA
POINT (-121.8114924 36.6907387),3811721,US,Marina State Beach,Reservation Road,"Marina, CA 93933",United States,,,travel_and_leisure.beach,CA
POINT (-118.4034348 33.8643578),3812893,US,Hermosa Beach,Hermosa Avenue & 33rd Street,"Hermosa Beach, CA 90254",United States,,,travel_and_leisure.beach,CA
POINT (-105.0473106 39.6187473),3816935,US,Bow Mar Beach,5395 Lakeshore Dr,"Littleton, CO 80123",United States,,,travel_and_leisure.beach,CO
POINT (-73.644512 41.005253),3818548,US,Byram Beach,4 Ritch Ave W,"Greenwich, CT  06830",United States,,,travel_and_leisure.beach,CT
POINT (-81.8277383 26.2722036),3820267,US,Bluebill Beach,11129 Gulf Shore Dr,"Naples, FL  34108",United States,,,travel_and_leisure.beach,FL
POINT (-65.4004085 18.1110409),3820886,US,Playa Pata Prieta,,,,,,travel_and_leisure.beach,PR
POINT (-68.1377829 44.5949165),3824873,US,Black Beach,"Franklin, ME  04634",United States,,,,travel_and_leisure.beach,ME
POINT (-70.5128326 41.3885573),3829573,US,Katama Beach,7N S Water St,"Edgartown, MA  02539",United States,,,travel_and_leisure.beach,MA
POINT (-81.56954 24.60384),3832605,US,Sammy Creek Landing - Sugarloaf Key,14710 County Road 939A,FL  33042,United States,,,travel_and_leisure.beach,FL
POINT (-86.3306111 30.3691697),3833403,US,FINZ Beach,4343 Beachside Two Dr,"Miramar Beach, FL  32550",United States,,,travel_and_leisure.beach,FL
POINT (-118.5533273 34.0384757),3834810,US,Pacific Palisades Beach,17366 W Sunset Blvd,"Pacific Palisades, CA 90272",United States,,,travel_and_leisure.beach,CA
POINT (-75.0540505 38.4211496),3835020,US,The Ocean City beach,11600–11640 Atlantic Ave,"Ocean City, MD  21842",United States,,,travel_and_leisure.beach,MD
POINT (-72.2384066 40.9268449),3835232,US,Wainscott Beach,End of Beach Lane,"Wainscott, NY 11975",United States,,,travel_and_leisure.beach,NY
POINT (-84.1279812 45.560283),3835511,US,Private Shoreline Beach-south Of Rockport,"Presque Isle County, MI",United States,,,,travel_and_leisure.beach,MI
POINT (-87.6402006 41.9597414),3838178,US,Clarendon Beach ,4501–4543 N Marine Dr,"Chicago, IL  60640",United States,,,travel_and_leisure.beach,IL
POINT (-73.976962 40.4065484),3838784,US,South Beach Area B,Multi Use Path,"Atlantic Highlands, NJ  07716",United States,,,travel_and_leisure.beach,NJ
POINT (-155.8231352 20.0162343),3843271,US,Mauumae Beach,62-100 Mauna Kea Beach Dr,"Waimea, HI 96743",United States,,,travel_and_leisure.beach,HI
POINT (-119.6899295 34.4102379),3847965,US,West Beach,401 Shoreline Dr,"Santa Barbara, CA  93109",United States,,,travel_and_leisure.beach,CA
POINT (-72.1142272 40.9975849),3854809,US,Little Albert's Landing Beach,Little Alberts,"Amagansett, NY  11930",United States,,,travel_and_leisure.beach,NY
POINT (-73.6521888 43.2917909),3856034,US,Haviland Cove Beach,75 Bush St,"Glens Falls, NY  12801",United States,,,travel_and_leisure.beach,NY
POINT (-84.445655 29.9293766),3860894,US,Wilson Beach,4420 St Teresa Ave,"Sopchoppy, FL 32346",United States,,,travel_and_leisure.beach,FL
POINT (-80.8224893 32.1082058),3863828,US,Tower Beach,Hilton Head Island,SC,United States,,,travel_and_leisure.beach,SC
POINT (-68.3597388 44.1231383),3864158,US,Whale Beach,"1 Spruce Rd
Frenchboro, ME  04685
United States",,,,,travel_and_leisure.beach,ME
POINT (-70.1523841 41.7566728),3864764,US,Sesuit Beach,Cold Storage Rd,"South Dennis, MA  02660",United States,,,travel_and_leisure.beach,MA
POINT (-122.388588 47.504874),3865466,US,Arroyo Beach,Arroyo Beach Pl SW & SW Arroyo Dr,"Seattle, WA  98146",United States,,,travel_and_leisure.beach,WA
POINT (-80.9690773 29.1530327),3865587,US,Dunlawton Beach,3501 S Atlantic Ave,"Daytona Beach Shores, FL 32118",United States,,,travel_and_leisure.beach,FL
POINT (-71.7810857 41.5236186),3868777,US,Sandy Beach Waterfront,61 Camp Yawgoog Rd,"Rockville, RI  02873",United States,,,travel_and_leisure.beach,RI
POINT (-70.7917196 41.6525111),3872443,US,Pico Beach,81–199 Pico Beach Rd,"Mattapoisett, MA  02739",United States,,,travel_and_leisure.beach,MA
POINT (-80.0753568 26.314336),3873109,US,Deerfield Beach South,202 NE 21st Ave,"Deerfield Beach, FL  33441",United States,,,travel_and_leisure.beach,FL
POINT (-121.1293242 35.5973332),3877096,US,San Simeon Creek Beach,,,,,,travel_and_leisure.beach,CA
POINT (-121.862728 36.9322572),3878954,US,Manresa State Beach,1445 San Andreas Rd,"Watsonville, CA 95076",United States,,,travel_and_leisure.beach,CA
POINT (-81.4318038 30.6599848),3882596,US,Fernandina North Beach,N Fletcher Ave,Fernandina Beach FL 32034,United States,,,travel_and_leisure.beach,FL
POINT (-124.3605995 40.2835853),3883779,US,Mattole Beach,3750 Lighthouse Rd,"Petrolia, CA 95558",United States,,,travel_and_leisure.beach,CA
POINT (-88.0663387 38.7772219),3885082,US,Borah Lake Beach,"Olney, IL  62450",United States,,,,travel_and_leisure.beach,IL
POINT (-72.929603 40.953509),3886065,US,Broadway Beach Rocky Point,55 Clubhouse Dr,"Rocky Point, NY  11778",United States,,,travel_and_leisure.beach,NY
POINT (-70.5585766 41.4618326),3891415,US,Marinelli Beach,"Oak Bluffs, MA  02557",United States,,,,travel_and_leisure.beach,MA
POINT (-86.4190901 30.3809544),3895279,US,Crystal Sands Beach,3284 Scenic Highway 98,"Destin, FL 32541",United States,,,travel_and_leisure.beach,FL
POINT (-85.6405428 45.1620092),3898595,US,Private Stretch Of Mixed Shoreline,Lake Michigan,"Leelanau Township, MI",United States,,,travel_and_leisure.beach,MI
POINT (-86.131775 45.9627654),3899226,US,Private Shoreline Beach-old Mission Pen-se Shore,5067W Michibay Dr,"Manistique, MI  49854",United States,,,travel_and_leisure.beach,MI
POINT (-76.2436384 36.9506787),3899328,US,North Community Beach,712 E Ocean View Ave,"Norfolk, VA  23503",United States,,,travel_and_leisure.beach,VA
POINT (-80.5838692 28.1539209),3901095,US,Bicentennial Beach Park,1866 SR-A1A N,"Indian Harbour Beach, FL  32937",United States,,,travel_and_leisure.beach,FL
POINT (-81.745756 41.4875394),3903494,US,K-9 Coastline,Cliff Dr,"Cleveland, OH 44102",United States,,,travel_and_leisure.beach.dog_beach,OH
POINT (-118.4692247 33.9801416),3905104,US,Venice Beach,1800 Ocean Front Walk,"Santa Monica, CA  90291",United States,,,travel_and_leisure.beach,CA
POINT (-71.7904709 41.3249912),3907487,US,Westerly Town Beach,365 Atlantic Ave,"Westerly, RI  02891",United States,,,travel_and_leisure.beach,RI
POINT (-134.9328543 58.3918511),3910329,US,The Sand Beach,Admiralty Island,AK,United States,,,travel_and_leisure.beach,AK
POINT (-85.3882887 45.2183363),3914117,US,Norwood Township Park,801–885 Lake Shore Dr,"Norwood, MI 49720",United States,,,travel_and_leisure.beach,MI
POINT (-103.494168 44.065092),3918613,US,Pactola Point Beach,Custer Gulch Rd,"Rapid City, SD  57702",United States,,,travel_and_leisure.beach,SD
POINT (-124.130016 46.8953638),3920210,US,Westhaven Beach,"Westport, WA",United States,,,,travel_and_leisure.beach,WA
POINT (-66.04018 18.154814),3922337,US,Playa Grande,PR-765,"Caguas, PR  00725",United States,,,travel_and_leisure.beach,PR
POINT (-66.6243273 18.4925288),3928330,US,Playa Caracoles,PR-681,"Arecibo, PR 00612",United States,,,travel_and_leisure.beach,PR
POINT (-77.6290083 34.3645698),3930318,US,Topsail Beach,819D Ocean Blvd,"Holly Ridge, NC  28445",United States,,,travel_and_leisure.beach,NC
POINT (-96.996593 33.0758496),3939670,US,Lake Park,Trotline Rd,"Little Elm, TX 75068",United States,,,travel_and_leisure.beach,TX
POINT (-87.896137 43.0315995),3939778,US,Pebble Beach,200 N Harbor Dr,"Milwaukee, WI  53202",United States,,,travel_and_leisure.beach,WI
POINT (-73.3553344 44.3548312),3940079,US,Bouquet Beach,Lake Champlain,"Willsboro, NY",United States,,,travel_and_leisure.beach,NY
POINT (-122.4621396 47.3436492),3944114,US,Northilla Beach,Quartermaster Harbor,"Vashon, WA",United States,,,travel_and_leisure.beach,WA
POINT (-82.5641667 27.2764475),3944485,US,Siesta Key Village,5151 Ocean Blvd,"Sarasota, FL  34242",United States,,,travel_and_leisure.beach,FL
POINT (-84.2131486 45.6334831),3945201,US,Private Shoreline Beach-southern County Border,13957 US-23,MI  49721,United States,,,travel_and_leisure.beach,MI
POINT (-86.2812674 42.405575),3946008,US,North Beach,45 Lakeshore Dr,"South Haven, MI  49090",United States,,,travel_and_leisure.beach,MI
POINT (-97.7813602 32.4415761),3950901,US,Granbury City Beach,623 E Pearl St,"Granbury, TX  76048",United States,,,travel_and_leisure.beach,TX
POINT (-80.352691 27.6450438),3952955,US,Riomar Beach,2426 Ocean Dr,"Vero Beach, FL  32963",United States,,,travel_and_leisure.beach,FL
POINT (-72.4476594 41.0156348),3956708,US,Nassau Point Causeway,Park Rd,"Cutchogue, NY  11935",United States,,,travel_and_leisure.beach,NY
POINT (-81.8596173 26.3584204),3964774,US,Little Hickory Beach Park,26082 Hickory Blvd,"Bonita Springs, FL  34134",United States,,,travel_and_leisure.beach,FL
POINT (-123.9641667 45.8816667),3966561,US,Cannon Beach,1964 Pacific Ave,"Cannon Beach, OR  97110",United States,,,travel_and_leisure.beach,OR
POINT (-70.9095975 42.4673508),3966670,US,Fisherman's Beach,"Humphrey St
Swampscott, MA  01907
United States",,,,,travel_and_leisure.beach,MA
POINT (-82.1138095 26.9624882),3968446,US,Port Charlotte Beach,Edgewater Dr,"Port Charlotte, FL  33952",United States,,,travel_and_leisure.beach,FL
POINT (-118.5978805 34.0392811),3970404,US,Las Tunas Beach,19444 Pacific Coast Hwy,"Malibu, CA  90265",United States,,,travel_and_leisure.beach,CA
POINT (-157.8295909 21.276877),3973322,US,Sheraton Beach,,,,,,travel_and_leisure.beach,HI
POINT (-158.1057163 21.6035909),3975155,US,Pua'ena Point Beach Park,"Haleiwa, HI 96712",United States,,,,travel_and_leisure.beach,HI
POINT (-70.099339 41.661114),3977333,US,Grey Neck,79 Shore Rd,"West Harwich, MA  02671",United States,,,travel_and_leisure.beach,MA
POINT (-71.4618056 41.4061372),3982130,US,Bass Rock,550 Ocean Rd,"Narragansett, RI  02882",United States,,,travel_and_leisure.beach,RI
POINT (-120.7314702 35.1779798),3984285,US,The Wall,101–199 Front St,"Pismo Beach, CA  93424",United States,,,travel_and_leisure.beach,CA
POINT (-90.1049391 47.79826),3987576,US,Coville Creek,Superior Hiking Trail,"Grand Marais, MN  55604",United States,,,travel_and_leisure.beach,MN
POINT (-159.3104782 22.1695437),3989896,US,Bega Cove,,,,,,travel_and_leisure.beach,HI
POINT (-76.5432233 39.059),3993507,US,Round Bay Main Beach,108 Severn River Rd,"Severna Park, MD  21146",United States,,,travel_and_leisure.beach,MD
POINT (-71.3816303 42.5685233),3997053,US,Heart Pond Beach,37–99 Pond St,"Chelmsford, MA  01824",United States,,,travel_and_leisure.beach,MA
POINT (-80.4952495 27.6288833),3997572,US,Realife Vero Beach,1416 82nd Ave,"Vero Beach, FL  32966",United States,,,travel_and_leisure.beach,FL
POINT (-75.241408 38.820448),3998186,US,Broadkill Beach,28454–28472 Broadkill Rd,"Milton, DE  19968",United States,,,travel_and_leisure.beach,DE
POINT (-76.2419433 39.0286865),4001561,US,Wickes Beach,Eastern Neck Island,Rock Hall MD 21661,United States,,,travel_and_leisure.beach,MD
POINT (-81.3446832 30.1165102),4001681,US,North Beach Guana River Preserve,,,,,,travel_and_leisure.beach,FL
POINT (-82.3409814 40.4400733),4002394,US,Apple Valley Lake King Beach,825 Kingsway Cir,"Howard, OH  43028",United States,,,travel_and_leisure.beach,OH
POINT (-122.5323898 47.9706315),4003316,US,Double Bluff Beach,"Freeland, WA 98249",United States,,,,travel_and_leisure.beach,WA
POINT (-92.257086 36.4784061),4006850,US,Calamity Beach,County Road 24,"Gamaliel, AR  72537",United States,,,travel_and_leisure.beach,AR
POINT (-73.1449457 40.9432987),4008855,US,West Meadow Beach,"Setauket, NY 11777",United States,,,,travel_and_leisure.beach,NY
POINT (-80.895359 29.0382061),4011375,US,Flagler Avenue Beachfront Park,310 Flagler Ave,"New Smyrna Beach, FL  32169",United States,,,travel_and_leisure.beach,FL
POINT (-93.1527162 45.137723),4011685,US,Golden Lake Park Beach,Golden Lake Rd & W Golden Lake Rd,"Circle Pines, MN  55014",United States,,,travel_and_leisure.beach,MN
POINT (-80.3578985 27.6615888),4017858,US,Vero Beach,4009 Ocean Dr,"Vero Beach, FL 32963",United States,,,travel_and_leisure.beach,FL
POINT (-86.8428515 45.7418323),4018240,US,Stoney Point,"Rapid River, MI  49878",United States,,,,travel_and_leisure.beach,MI
POINT (-156.7537228 58.7080046),4020658,US,King Salmon Beach,Naknek River,AK,United States,,,travel_and_leisure.beach,AK
POINT (-89.0510416 43.6980372),4023299,US,County of Green Lake,N1906 WIS-73,"Markesan, WI  53946",United States,,,travel_and_leisure.beach,WI
POINT (-64.9563373 18.3171463),4023830,US,Honeymoon Beach,10 Druie Rd,"St. Thomas, United States Virgin Islands  00802",United States,,,travel_and_leisure.beach,PR
POINT (-114.0294873 47.8757193),4026503,US,Montana's Flathead Lake,,,,,,travel_and_leisure.beach,MT
POINT (-77.2653759 42.8747847),4028132,US,Kershaw Beach,155 Lakeshore Dr,"Canandaigua, NY  14424",United States,,,travel_and_leisure.beach,NY
POINT (-157.2891667 21.1375),4028724,US,Kaunalā Beach,"Hoolehua, HI  96729",United States,,,,travel_and_leisure.beach,HI
POINT (-80.1857597 27.235935),4029508,US,Bryn Mawr Beach,"2661 NE Ocean Blvd
Hutchinson Island Beaches, FL  34996
United States",,,,,travel_and_leisure.beach,FL
POINT (-74.731263 39.458452),4031332,US,The Cove At Lake Lenape,577 Park Rd,"Mays Landing, NJ  08330",United States,,,travel_and_leisure.beach,NJ
POINT (-76.2859426 35.9654815),4035093,US,"Albemarle Snd., Columbia, Legion Bch",19 Rhodes Haven Dr,NC  27925,United States,,,travel_and_leisure.beach,NC
