fid,name,latitude,longitude,formatted_address,street_number,route,city,county,state,zip,country,governing_jurisdiction,governing_body,geocode_status,raw_addr1,raw_addr2,raw_addr3,raw_addr4,raw_addr5
4551923,38th Ave. Beach,36.9587054,-121.9673395,"38th Ave. Beach, 23801 E Cliff Dr, Santa Cruz, CA 95062, USA",23801,East Cliff Drive,Opal Cliffs,Santa Cruz County,California,95062,United States,municipal,City of Opal Cliffs,OK,,,,,
4585948,San Clemente City Beach,33.4289455,-117.63013,"1507 Buena Vista #7, San Clemente, CA 92672, USA",1507,Buena Vista,San Clemente,Orange County,California,92672,United States,municipal,City of San Clemente,OK,620 Avenida Del Mar,"San Clemente, CA  92672",United States,,
4596578,Teachers Beach,38.1139262,-122.8697443,"240 Camino Del Mar, Inverness, CA 94937, USA",240,Camino Del Mar,Inverness,Marin County,California,94937,United States,municipal,City of Inverness,OK,190 Camino del Mar,"Inverness, CA  94937",United States,,
4597531,Topanga Beach,34.038818,-118.5815549,"Parking lot, 18700 Pacific Coast Hwy, Malibu, CA 90265, USA",18700,Pacific Coast Highway,Topanga,Los Angeles County,California,90265,United States,municipal,City of Topanga,OK,18700 Pacific Coast Hwy,"Malibu, CA  90265",United States,,
4598113,Lake Anza ,37.8954698,-122.251044,"Lake Anza, California 94708, Berkeley, CA 94708, USA",,,Berkeley,Contra Costa County,California,94708,United States,municipal,City of Berkeley,OK,"Lake Anza Road
Berkeley, CA 94708
United States",,,,
4615237,Moonlight State Beach,33.0478595,-117.2983485,"430-452 Moonlight Ln, Encinitas, CA 92024, USA",430-452,Moonlight Lane,Encinitas,San Diego County,California,92024,United States,state,California State Parks,OK,400 B St,"Encinitas, CA  92024",United States,,
4641200,Pinebrook Beach,38.2362711,-120.3418096,"2093 Flanders Dr, Arnold, CA 95223, USA",2093,Flanders Drive,Arnold,Calaveras County,California,95223,United States,municipal,City of Arnold,OK,2093 Flanders Dr,"Arnold, CA  95247",United States,,
4641976,Aliso Beach,33.508579,-117.7513893,"1 Camel Point Dr, Laguna Beach, CA 92651, USA",1,Camel Point Drive,Laguna Beach,Orange County,California,92651,United States,municipal,City of Laguna Beach,OK,30802 S Coast Hwy,Unit E3,"Laguna Beach, CA  92651",United States,
4648105,Cooks Beach,38.789391,-123.5607317,"47021 Pirates Dr, Gualala, CA 95445, USA",47021,Pirates Drive,Gualala,Mendocino County,California,95445,United States,municipal,City of Gualala,OK,"Gualala, CA  95445",United States,,,
4653602,Humboldt Island,33.721229,-118.062815,"16632 Carousel Ln, Huntington Beach, CA 92649, USA",16632,Carousel Lane,Huntington Beach,Orange County,California,92649,United States,municipal,City of Huntington Beach,OK,16632 Carousel Ln,"Huntington Beach, CA  92649",United States,,
4704404,Centerville Beach County Park,40.5740554,-124.3493461,"3587 Centerville Rd, Ferndale, CA 95536, USA",3587,Centerville Road,Ferndale,Humboldt County,California,95536,United States,county,Humboldt County County,OK,Centerville Rd,"Ferndale, CA  95536",United States,,
4724792,Shell Beach,38.116512,-122.8734434,"448G+JJ Inverness, CA, USA",,,Inverness,Marin County,California,,United States,municipal,City of Inverness,OK,3093 N Highway One,"Bodega Bay, CA  94923",United States,,
4772579,Depressions Beach,34.407936,-119.852568,"Tecolote House, 877, Isla Vista, CA 93117, USA",877,,Isla Vista,Santa Barbara County,California,93117,United States,municipal,City of Isla Vista,OK,,,,,
4803034,South Salmon Creek Beach,38.3393611,-123.0680577,"8WQJ+PQ Salmon Creek, CA, USA",,,Salmon Creek,Sonoma County,California,94923,United States,municipal,City of Salmon Creek,OK,"Bodega Bay, CA  94923",United States,,,
4828827,Law Street Beach,32.6840264,-117.1854857,"685 Ocean Blvd, Coronado, CA 92118, USA",685,Ocean Boulevard,Coronado,San Diego County,California,92118,United States,municipal,City of Coronado,OK,671 Ocean Blvd,Ste 601,"Coronado, CA  92118",United States,
4834338,Marshall's Beach,37.8016715,-122.4796807,"RG2C+M4 Presidio of San Francisco, San Francisco, CA, USA",,,Presidio of San Francisco,San Francisco County,California,,United States,municipal,City of Presidio of San Francisco,OK,,,,,
4841255,Italian Gardens,33.4096596,-118.3818386,"CJ59+V7 Avalon, CA, USA",,,Avalon,Los Angeles County,California,90704,United States,municipal,City of Avalon,OK,Santa Catalina Island,"Santa Catalina Island, CA  90704",United States,,
4862130,california surf club,33.8440104,-118.3936099,"239 N Harbor Dr, Redondo Beach, CA 90277, USA",239,North Harbor Drive,South Redondo,Los Angeles County,California,90277,United States,municipal,City of South Redondo,OK,239 N Harbor Dr,"Redondo Beach, CA  90277",United States,,
4882238,Miramar Beach,37.4962295,-122.4631999,"115 Magellan Ave, El Granada, CA 94018, USA",115,Magellan Avenue,El Granada,San Mateo County,California,94018,United States,municipal,City of El Granada,OK,131 Mirada Rd,"Half Moon Bay, CA  94019",United States,,
4937506,Calawee Cove,38.866185,-120.0123747,"1590 Arapahoe St, South Lake Tahoe, CA 96150, USA",1590,Arapahoe Street,South Lake Tahoe,El Dorado County,California,96150,United States,municipal,City of South Lake Tahoe,OK,2711–2785 US-50,"South Lake Tahoe, CA  96150",United States,,
5002892,Pismo State Beach,35.0866245,-120.6299686,"39PC+J2 Oceano, CA, USA",,,Oceano,San Luis Obispo County,California,,United States,state,California State Parks,OK,"555 Pier Avenue
Oceano, CA  93445
United States",,,,
5011046,Fish Rock Beach at Anchor Bay,38.8029333,-123.5802496,"35300 CA-1, Gualala, CA 95445, USA",35300,California 1,Gualala,Mendocino County,California,95445,United States,municipal,City of Gualala,OK,"35400 California 1
Gualala, CA  95445
United States",,,,
5092727,West End Beach,39.3217253,-120.289614,"West End Beach, 15888 S Shore Dr, Truckee, CA 96161, USA",15888,South Shore Drive,Truckee,Nevada County,California,96161,United States,municipal,City of Truckee,OK,15888 S Shore Dr,"Truckee, CA  96161",United States,,
5132557,Pinnacle Beach,38.306845,-123.018258,"943 Sea Eagle Loop, Bodega Bay, CA 94923, USA",943,Sea Eagle Loop,Bodega Bay,Sonoma County,California,94923,United States,municipal,City of Bodega Bay,OK,943 Sea Eagle Loop,"Bodega Bay, CA 94923",United States,,
5144045,Bill’s Beach,36.6083108,-121.9518632,"17 17 Mile Dr, Pebble Beach, CA 93953, USA",17,17 Mile Drive,Pebble Beach,Monterey County,California,93953,United States,municipal,City of Pebble Beach,OK,75–85 17 Mile Dr,"Pebble Beach, CA  93953",United States,,
5148963,Whaler's Cove,36.5204806,-121.9431647,"G3C4+5P Carmel Highlands, CA, USA",,,Carmel Highlands,Monterey County,California,93923,United States,municipal,City of Carmel Highlands,OK,North Shore Trail,"Carmel, CA  93923",United States,,
5167728,China Cove Beach,33.5984654,-117.879655,"189 Carnation Ave, Corona Del Mar, CA 92625, USA",189,Carnation Avenue,Corona Del Mar,Orange County,California,92625,United States,municipal,City of Corona Del Mar,OK,2609 Cove St,"Newport Beach, CA 92625",United States,,
5177563,Pantai Bahagia,33.5381707,-115.9822747,"G2Q9+73 Desert Camp, CA, USA",,,Desert Camp,Riverside County,California,92254,United States,municipal,City of Desert Camp,OK,"Mecca, CA  92254",United States,,,
5233983,Monument Point,33.5435544,-117.7926309,"Picnic Cove, 399, 361 Cliff Dr, Laguna Beach, CA 92651, USA",361,Cliff Drive,Laguna Beach,Orange County,California,92651,United States,municipal,City of Laguna Beach,OK,375 Cliff Dr,"Laguna Beach, CA  92651",United States,,
5234224,Mermaid Beach,33.52007,-117.76407,"Mermaid Beach, Victoria Dr, Laguna Beach, CA 92651, USA",,Victoria Drive,Laguna Beach,Orange County,California,92651,United States,municipal,City of Laguna Beach,OK,2703 Victoria Dr,"Laguna Beach, CA  92651",United States,,
5265131,Mission Bay Beach,32.7927085,-117.2095899,"3500 Mission Bay Dr., San Diego, CA 92109, USA",3500,Mission Bay Drive,Mission Bay,San Diego County,California,92109,United States,municipal,City of Mission Bay,OK,2688 E Mission Bay Dr,"San Diego, CA  92109",United States,,
5272977,Visit Carlsbad,33.1185228,-117.2366766,"6200 Flying Leo Carrillo Ln, Carlsbad, CA 92009, USA",6200,Flying Leo Carrillo Lane,Carlsbad,San Diego County,California,92009,United States,municipal,City of Carlsbad,OK,,,,,
5326104,Bass Rock Beach,34.0656632,-118.9956558,"10328 Pacific Coast Hwy, Malibu, CA 90265, USA",10328,Pacific Coast Highway,Malibu,Ventura County,California,90265,United States,municipal,City of Malibu,OK,10018 Pacific Coast Hwy,"Malibu, CA  90265",United States,,
5328331,Baldwin Beach,38.9434225,-120.0683033,"WWVJ+9M Spring Creek, CA, USA",,,Spring Creek,El Dorado County,California,96150,United States,municipal,City of Spring Creek,OK,2200 Baldwin Rd,"South Lake Tahoe, CA  96150",United States,,
5329217,San Simeon State Beach,35.6429986,-121.1878295,"255 Slo San Simeon Rd, Ragged Point, CA 93452, USA",255,Slo San Simeon Road,Ragged Point,San Luis Obispo County,California,93452,United States,state,California State Parks,OK,255 Slo San Simeon Rd,"Ragged Point, CA  93452",United States,,
5330784,Salton Beach,33.4697222,-115.8838889,"F498+VC North Shore, CA, USA",,,North Shore,Riverside County,California,92254,United States,municipal,City of North Shore,OK,"Mecca, CA  92254",United States,,,
5367083,Goat Rock Beach,38.4446486,-123.1268263,"CVVF+V7 Jenner, CA, USA",,,Jenner,Sonoma County,California,95450,United States,municipal,City of Jenner,OK,Goat Rock Beach,CA 94923,United States,,
5369978,Coronado Beach,32.6993736,-117.1704487,"Coronado, 1101 1st St, Coronado, CA 92118, USA",1101,1st Street,Coronado,San Diego County,California,92118,United States,municipal,City of Coronado,OK,1201 First St,"Coronado, CA 92118",United States,,
5385503,Pita Beach,38.2029195,-122.9503066,"623X+5V Dillon Beach, CA, USA",,,Dillon Beach,Marin County,California,,United States,municipal,City of Dillon Beach,OK,8180 Pierce Point Rd,CA  94937,United States,,
5390893,"Del Mar Beach, California, USA",32.9551176,-117.2673707,"100 11th St, Del Mar, CA 92014, USA",100,11th Street,Del Mar,San Diego County,California,92014,United States,municipal,City of Del Mar,OK,1104 Camino del Mar,"Del Mar, CA  92014",United States,,
5399718,Padaro Beach,34.4129315,-119.5778909,"2825 Padaro Ln, Carpinteria, CA 93013, USA",2825,Padaro Lane,Carpinteria,Santa Barbara County,California,93013,United States,municipal,City of Carpinteria,OK,2825 Padaro Ln,"Carpinteria, CA  93013",United States,,
5514311,Arched Rock Beach,38.3663518,-123.0724441,"9W8H+G2 Carmet, CA, USA",,,Carmet,Sonoma County,California,94923,United States,municipal,City of Carmet,OK,Highway One,"Bodega Bay, CA 94923",United States,,
5534332,Coleman Beach,38.3628923,-123.0699635,"4217 CA-1, Bodega Bay, CA 94923, USA",4217,California 1,Bodega Bay,Sonoma County,California,94923,United States,municipal,City of Bodega Bay,OK,Coleman Valley Rd and Highway 1,"Bodega Bay, CA 94923",United States,,
5546689,Santa Monica Beach,34.0398115,-118.5783523,"18552 Pacific Coast Hwy, Malibu, CA 90265, USA",18552,Pacific Coast Highway,Topanga,Los Angeles County,California,90265,United States,municipal,City of Topanga,OK,18552 Pacific Coast Hwy,"Malibu, CA  90090",United States,,
5561112,All Things Malibu,34.0911626,-118.8165787,"327 Kanan Dume Rd, Malibu, CA 90265, USA",327,Kanan Dume Road,Malibu,Los Angeles County,California,90265,United States,municipal,City of Malibu,OK,,,,,
5565580,"Seal Rock, Pebble Beach",36.5877361,-121.9644594,"H2QP+36 Del Monte Forest, CA, USA",,,Del Monte Forest,Monterey County,California,,United States,municipal,City of Del Monte Forest,OK,Bird Rock Point to Fan Shell Beach,"Del Monte Forest, CA",United States,,
5584839,Miwok Beach,38.3604718,-123.0688911,"3095 CA-1, Bodega Bay, CA 94923, USA",3095,California 1,Bodega Bay,Sonoma County,California,94923,United States,municipal,City of Bodega Bay,OK,Miwok Beach,CA 94923,United States,,
5610069,Tide Pools,37.2315072,-122.4121141,"11800 CA-1, Pescadero, CA 94060, USA",11800,California 1,Pescadero,San Mateo County,California,94060,United States,municipal,City of Pescadero,OK,,,,,
5713362,Shell Beach,32.8487736,-117.2762042,"1000 Coast Blvd, La Jolla, CA 92037, USA",1000,Coast Boulevard,La Jolla,San Diego County,California,92037,United States,municipal,City of La Jolla,OK,"La Jolla, CA 92037",United States,,,
5752813,Malibu Colony Beach,34.0318786,-118.6880654,"23554 Malibu Rd, Malibu, CA 90265, USA",23554,Malibu Road,Eastern Malibu,Los Angeles County,California,90265,United States,municipal,City of Eastern Malibu,OK,23570 Malibu Colony Rd,"Malibu, CA  90265",United States,,
5768930,Crissy Field East Beach,37.8062577,-122.4514461,"3698 Yacht Rd #3650, San Francisco, CA 94123, USA",3698,Yacht Road,Presidio of San Francisco,San Francisco County,California,94123,United States,municipal,City of Presidio of San Francisco,OK,Crissy Field Promenade,"San Francisco, CA  94118",United States,,
5785861,Point San Pedro Beach,37.5940272,-122.5209581,"HFVH+JJ Pacifica, CA, USA",,,Pacifica,San Mateo County,California,94044,United States,municipal,City of Pacifica,OK,5200 Coast Hwy,"Pacifica, CA  94044",United States,,
5795618,Silver Strand Beach,34.1505961,-119.2183971,"901 Ocean Dr, Oxnard, CA 93035, USA",901,Ocean Drive,Silver Strand,Ventura County,California,93035,United States,municipal,City of Silver Strand,OK,100 Ocean Dr,"Oxnard, CA  93035",United States,,
5815707,Gibson Beach,36.5068955,-121.9388415,"29112 CA-1, Carmel-By-The-Sea, CA 93923, USA",29112,California 1,Carmel-by-the-Sea,Monterey County,California,93923,United States,municipal,City of Carmel-by-the-Sea,OK,Gibson Beach Trail,"Carmel, CA  93923",United States,,
5841182,Tide Beach Park,32.997021,-117.276207,"417 Pacific Ave, Solana Beach, CA 92075, USA",417,Pacific Avenue,Solana Beach,San Diego County,California,92075,United States,municipal,City of Solana Beach,OK,302 Solana Vista Drive,"Solana Beach, CA 92075",United States,,
5844897,Hare Creek Beach,39.4179182,-123.8114665,"31201 Bay View Ave, Fort Bragg, CA 95437, USA",31201,Bay View Avenue,Fort Bragg,Mendocino County,California,95437,United States,municipal,City of Fort Bragg,OK,31201 Bay View Ave,"Fort Bragg, CA  95437",United States,,
5909151,Limantour Beach,38.0245149,-122.8793335,"24FC+R7 Inverness, CA, USA",,,Inverness,Marin County,California,,United States,municipal,City of Inverness,OK,Limantour Rd,"Inverness, CA 94937",United States,,
5932073,Long Point Beach,33.4071197,-118.3691776,"CJ4J+R8 Avalon, CA, USA",,,Avalon,Los Angeles County,California,90704,United States,municipal,City of Avalon,OK,Santa Catalina Island,"Santa Catalina Island, CA 90704",United States,,
5951020,Robert W. Crown Memorial State Beach,37.7600514,-122.2671612,"301 Harbor Light Rd, Alameda, CA 94501, USA",301,Harbor Light Road,West Alameda,Alameda County,California,94501,United States,state,California State Parks,OK,1883 Shore Line Dr,"Alameda, CA 94501",United States,,
5952382,Vespucci Beach,33.9905569,-118.4793624,"998 Ocean Front Walk, Venice, CA 90291, USA",998,Ocean Front Walk,Venice,Los Angeles County,California,90291,United States,municipal,City of Venice,OK,"Los Angeles, CA",United States,,,
5954692,Hug Deli,34.003289,-118.489428,"2G36+56 Vball Courts!, Santa Monica, CA 90401, USA",,,Ocean Park,Los Angeles County,California,90401,United States,municipal,City of Ocean Park,OK,2576–2588 Ocean Front Walk,"Santa Monica, CA  90405",United States,,
6023791,Lovers Point Beach,36.6259297,-121.9160825,"Lovers Point Park, 631 Ocean View Blvd, Pacific Grove, CA 93950, USA",631,Ocean View Boulevard,Pacific Grove,Monterey County,California,93950,United States,municipal,City of Pacific Grove,OK,631 Ocean View Blvd,"Pacific Grove, CA  93950",United States,,
6024456,North Manhattan Beach,33.9009918,-118.4207082,"105 38th St, Manhattan Beach, CA 90266, USA",105,38th Street,El Porto,Los Angeles County,California,90266,United States,municipal,City of El Porto,OK,3738 Highland Ave,"Manhattan Beach, CA  90266",United States,,
6056091,San Gregorio Beach,37.415495,-122.423224,"2475 Cabrillo Hwy S, Half Moon Bay, CA 94019, USA",2475,Cabrillo Highway South,Half Moon Bay,San Mateo County,California,94019,United States,municipal,City of Half Moon Bay,OK,Cabrillo Hwy S,"Half Moon Bay, CA  94019",United States,,
6092850,Indian Beach,33.6785059,-117.2506535,"23406 Continental Way, Canyon Lake, CA 92587, USA",23406,Continental Way,Canyon Lake,Riverside County,California,92587,United States,municipal,City of Canyon Lake,OK,23380 Continental Dr,"Canyon Lake, CA  92587",United States,,
6119906,Reedley Beach,36.5862772,-119.4593668,"18440 W Olson Ave, Reedley, CA 93654, USA",18440,West Olson Avenue,Reedley,Fresno County,California,93654,United States,municipal,City of Reedley,OK,10300 Kings River Rd,"Reedley, CA  93654",United States,,
6147874,Limantour Beach,38.0280339,-122.8986205,"24H2+6H Inverness, CA, USA",,,Inverness,Marin County,California,,United States,municipal,City of Inverness,OK,Limantour Rd,"Inverness, CA  94937",United States,,
6190447,Dillon Beach,38.2496943,-122.967908,"60 Beach Ave, Dillon Beach, CA 94929, USA",60,Beach Avenue,Dillon Beach,Marin County,California,94929,United States,municipal,City of Dillon Beach,OK,1–99 Cliff Rd,"Dillon Beach, CA 94929",United States,,
6226444,Poplar Beach,37.4552756,-122.4448064,"Parking lot, 100 Poplar St, Half Moon Bay, CA 94019, USA",100,Poplar Street,Half Moon Bay,San Mateo County,California,94019,United States,municipal,City of Half Moon Bay,OK,Poplar St,"Half Moon Bay, CA 94019",United States,,
6228407,Bolinas Beach,37.9061979,-122.6832018,"71 Cresente Ave, Bolinas, CA 94924, USA",71,Cresente Avenue,Bolinas,Marin County,California,94924,United States,municipal,City of Bolinas,OK,60 Crescente Ave,"Bolinas, CA  94924",United States,,
6234125,Hidden Beach,36.9577752,-121.8890351,"770 Cliff Dr, Aptos, CA 95003, USA",770,Cliff Drive,Aptos,Santa Cruz County,California,95003,United States,municipal,City of Aptos,OK,,,,,
6245613,Monastery Beach,36.5236996,-121.9265056,"27951 CA-1, Carmel, CA 93923, USA",27951,California 1,Carmel,Monterey County,California,93923,United States,municipal,City of Carmel,OK,27951 CA-1,"Carmel, CA  93923",United States,,
6257700,Oceanside Habor,33.180407,-117.354074,"1257 Chambord Ct, Oceanside, CA 92054, USA",1257,Chambord Court,South Oceanside,San Diego County,California,92054,United States,municipal,City of South Oceanside,OK,I-5 S,"Oceanside, CA  92054",United States,,
6315980,El Porto Beach,33.9045002,-118.4229398,"Manhattan Beach, 4499-4401 The Strand, Manhattan Beach, CA 90266, USA",4499-4401,The Strand,El Porto,Los Angeles County,California,90266,United States,municipal,City of El Porto,OK,,,,,
6338031,Crystal Cove State Beach,33.5680969,-117.8342056,"7846 East Coast Hwy, Newport Beach, CA 92657, USA",7846,East Coast Highway,Newport Beach,Orange County,California,92657,United States,state,California State Parks,OK,,,,,
6353454,Mauren Beach,40.812292,-124.196904,"RR63+W6 Samoa, CA, USA",,,Samoa,Humboldt County,California,,United States,municipal,City of Samoa,OK,,,,,
6371103,Doheny State Beach,33.4621064,-117.6869982,"25300 Dana Point Harbor Dr, Dana Point, CA 92629, USA",25300,Dana Point Harbor Drive,Dana Point,Orange County,California,92629,United States,state,California State Parks,OK,25300 Dana Point Harbor Dr,"Dana Point, CA  92629",United States,,
6377780,Table Tops,32.9979293,-117.2764564,"505 Pacific Ave, Solana Beach, CA 92075, USA",505,Pacific Avenue,Solana Beach,San Diego County,California,92075,United States,municipal,City of Solana Beach,OK,517 Pacific Ave,"Solana Beach, CA  92075",United States,,
6385439,Surfers Beach,37.499735,-122.468267,"555 Obispo Rd, El Granada, CA 94018, USA",555,Obispo Road,El Granada,San Mateo County,California,94018,United States,municipal,City of El Granada,OK,4000 N Cabrillo Hwy,"Half Moon Bay, CA  94019",United States,,
6400925,Pebble Beach,36.5677354,-121.9494824,"1500 Palmero Way, Pebble Beach, CA 93953, USA",1500,Palmero Way,Pebble Beach,Monterey County,California,93953,United States,municipal,City of Pebble Beach,OK,"17 Mile Dr
Pebble Beach, CA  93953
United States",,,,
6412980,Salt Creek Beach,33.4773869,-117.7230797,"21 Ritz Cove Dr, Dana Point, CA 92629, USA",21,Ritz Cove Drive,Monarch Beach,Orange County,California,92629,United States,municipal,City of Monarch Beach,OK,3 Monarch Cove Rd,"Dana Point, CA  92629",United States,,
6425763,Kiddie Beach Park,34.1598029,-119.222042,"Kiddie Beach Park, 2721 Victoria Ave, Oxnard, CA 93035, USA",2721,Victoria Avenue,Hollywood,Ventura County,California,93035,United States,municipal,City of Hollywood,OK,2974 S Victoria Ave,"Oxnard, CA 93035",United States,,
6426310,Sunset Beach,34.0380445,-118.5560042,"Pacific Coast Hwy / Sunset, Los Angeles, CA 90272, USA",,,Pacific Palisades,Los Angeles County,California,90272,United States,municipal,City of Pacific Palisades,OK,"Pacific Palisades, CA 90272",United States,,,
6436260,Pelican Point,33.5793461,-117.8522823,"Crystal Cove Trail, Crystal Cove Trail, Newport Beach, CA 92657, USA",,Crystal Cove Trail,Newport Coast,Orange County,California,92657,United States,municipal,City of Newport Coast,OK,P-2 Stairs,"Newport Beach, CA",United States,,
6444464,Regan Beach,38.9443821,-119.9860239,"3199 Sacramento Ave, South Lake Tahoe, CA 96150, USA",3199,Sacramento Avenue,Al Tahoe,El Dorado County,California,96150,United States,municipal,City of Al Tahoe,OK,3199 Sacramento Ave,"South Lake Tahoe, CA  96150",United States,,
6452599,Camel Point Beach,33.5068111,-117.7502275,"31351 Coast Hwy, Laguna Beach, CA 92651, USA",31351,Coast Highway,Laguna Beach,Orange County,California,92651,United States,municipal,City of Laguna Beach,OK,"Laguna Beach, CA  92651",United States,,,
6500863,Brook's Landing,33.2656391,-119.4970193,85527G83+75,,,,,,,,municipal,,OK,San Nicolas Island,CA,United States,,
6525233,Huntington Cliffs,33.67151,-118.0231286,"20211 CA-1, Huntington Beach, CA 92648, USA",20211,California 1,Huntington Beach,Orange County,California,92648,United States,municipal,City of Huntington Beach,OK,20211 Pacific Coast Hwy,"Huntington Beach, CA  92648",United States,,
6542203,Sunset Beach,33.7182907,-118.0732652,"16731 S Pacific Ave., Sunset Beach, CA 90742, USA",16731,South Pacific Avenue,Sunset Beach,Orange County,California,90742,United States,municipal,City of Sunset Beach,OK,16733 S Pacific Ave,"Sunset Beach, CA  90742",United States,,
6545056,Laguna Main Beach,33.5405915,-117.7832651,"509 S Coast Hwy, Laguna Beach, CA 92651, USA",509,South Coast Highway,Laguna Beach,Orange County,California,92651,United States,municipal,City of Laguna Beach,OK,425 S Coast Hwy,"Laguna Beach, CA  92651",United States,,
6576048,Arroyo Laguna Beach,35.65213,-121.2216,"MQ2H+V9 San Simeon, CA, USA",,,San Simeon,San Luis Obispo County,California,93452,United States,municipal,City of San Simeon,OK,Arroyo Laguna Beach Trail,"Ragged Point, CA  93452",United States,,
6651095,Pine Island Beach,39.23303,-121.2122183,"19754 Chaparral Cir, Penn Valley, CA 95946, USA",19754,Chaparral Circle,Penn Valley,Nevada County,California,95946,United States,municipal,City of Penn Valley,OK,19754 Chaparral Cir,"Penn Valley, CA  95946",United States,,
6658007,Ten Mile River,39.5418779,-123.7703976,"G6RH+QR Inglenook, CA, USA",,,Inglenook,Mendocino County,California,95437,United States,municipal,City of Inglenook,OK,"Mendocino County, CA",United States,,,
6668540,China Rock,36.616907,-121.932139,"850 17 Mile Dr, Pacific Grove, CA 93950, USA",850,17 Mile Drive,Pacific Grove,Monterey County,California,93950,United States,municipal,City of Pacific Grove,OK,850 17 Mile Dr,"Pacific Grove, CA  93950",United States,,
6678279,Surfside Beach,33.7256795,-118.0824037,"49 Surfside Ave., Surfside, CA 90743, USA",49,Surfside Avenue,Surfside,Orange County,California,90743,United States,municipal,City of Surfside,OK,1 Surfside Ave,"Surfside, CA 90743",United States,,
6702536,El Segundo Beach,33.9160309,-118.4293985,"12793 Vista Del Mar, Playa Del Rey, CA 90293, USA",12793,Vista Del Mar,Playa del Rey,Los Angeles County,California,90293,United States,municipal,City of Playa del Rey,OK,,,,,
6717363,Crissy Field South Beach,37.8062455,-122.4543404,"RG4W+F7 Presidio of San Francisco, San Francisco, CA, USA",,,Presidio of San Francisco,San Francisco County,California,,United States,municipal,City of Presidio of San Francisco,OK,Crissy Field Promenade,"San Francisco, CA",United States,,
6726953,China Beach,37.7879627,-122.4911857,"340 Sea Cliff Ave, San Francisco, CA 94121, USA",340,Sea Cliff Avenue,Sea Cliff,San Francisco County,California,94121,United States,municipal,City of Sea Cliff,OK,South Bay,"San Francisco, CA",United States,,
6754273,William Randolph Hearst Memorial State Beach,35.5931431,-121.1256478,"HVVF+7P Cambria, CA, USA",,,Cambria,San Luis Obispo County,California,,United States,state,California State Parks,OK,Cabrillo Hwy,"Cambria, CA 93428",United States,,
6762614,Clam Beach,41.0162007,-124.1142798,"2V8P+F7 McKinleyville, CA, USA",,,McKinleyville,Humboldt County,California,95519,United States,municipal,City of McKinleyville,OK,"McKinleyville, CA  95519",United States,,,
6764575,Hobie Beach,34.1611503,-119.2220442,"4201 Victoria Ave, Oxnard, CA 93035, USA",4201,Victoria Avenue,Hollywood,Ventura County,California,93035,United States,municipal,City of Hollywood,OK,2974-3098 Victoria Ave,"Oxnard, CA  93035",United States,,
6786583,Chapman Estate,35.15332,-120.674545,"1243 Ocean Blvd, Pismo Beach, CA 93449, USA",1243,Ocean Boulevard,Shell Beach,San Luis Obispo County,California,93449,United States,municipal,City of Shell Beach,OK,1243 Ocean Blvd,"Pismo Beach, CA  93449",United States,,
6811197,Panther Beach,36.9910635,-122.1688742,"XRRJ+CF Davenport, CA, USA",,,Davenport,Santa Cruz County,California,95017,United States,municipal,City of Davenport,OK,10 Miles Hwy 1 N,"Santa Cruz, CA 95067",United States,,
6813170,Fort Funston,37.719179,-122.5051228,"Fort Funston, Sunset Trail, San Francisco, CA 94132, USA",,Sunset Trail,Lakeshore,San Francisco County,California,94132,United States,municipal,City of Lakeshore,OK,"San Francisco, CA  94132",United States,,,
6830335,Little Corona del Mar Beach,33.5900884,-117.8691038,"212 Hazel Dr, Corona Del Mar, CA 92625, USA",212,Hazel Drive,Corona Del Mar,Orange County,California,92625,United States,municipal,City of Corona Del Mar,OK,3100 Ocean Blvd,"Corona Del Mar, CA 92625",United States,,
6830586,Pillar Point Harbor Beach,37.5034293,-122.4796143,"2 Johnson Pier, Half Moon Bay, CA 94019, USA",2,Johnson Pier,Half Moon Bay,San Mateo County,California,94019,United States,municipal,City of Half Moon Bay,OK,4000 Cabrillo Hwy N,"Half Moon Bay, CA 94019",United States,,
6855132,Tiffany Beach,37.8506455,-122.4793625,"325 Bridgeway, Sausalito, CA 94965, USA",325,Bridgeway,Sausalito,Marin County,California,94965,United States,municipal,City of Sausalito,OK,Richardson Street,"Sausalito, CA 94965",United States,,
6857846,Bombay Beach,33.350668,-115.7175908,"972J+7X Bombay Beach, CA, USA",,,Bombay Beach,Imperial County,California,92257,United States,municipal,City of Bombay Beach,OK,9518 Avenue B,"Niland, CA  92257",United States,,
6914339,Hammonds Beach,34.416646,-119.6351373,"1451 Bonnymede Dr, Montecito, CA 93108, USA",1451,Bonnymede Drive,Montecito,Santa Barbara County,California,93108,United States,municipal,City of Montecito,OK,Eucalyptus Ln and Edgecliff Ln,"Montecito, CA 93108",United States,,
6919301,Aeneas Beach,36.6119558,-121.8974827,"300 Cannery Row, Monterey, CA 93940, USA",300,Cannery Row,Monterey,Monterey County,California,93940,United States,municipal,City of Monterey,OK,300 Cannery Row,"Monterey, CA  93940",United States,,
6919647,Malibu Beaches,34.002873,-118.804924,"Point Dume, Cliffside Dr &, Birdview Ave, Malibu, CA 90265, USA",,Birdview Avenue,Central Malibu,Los Angeles County,California,90265,United States,municipal,City of Central Malibu,OK,23825 Stuart Ranch Road,"Malibu, CA  90265-4861",United States,,
